,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
99,Champion - Remix,0.532,0.73,2,-4.19,1,0.261,0.0457,0.0,0.157,0.191,188.12,audio_features,6PurllVXXGL1s6UkLtzMVF,spotify:track:6PurllVXXGL1s6UkLtzMVF,https://api.spotify.com/v1/tracks/6PurllVXXGL1s6UkLtzMVF,https://api.spotify.com/v1/audio-analysis/6PurllVXXGL1s6UkLtzMVF,210320,4
100,I Like You (A Happier Song) (with Doja Cat),0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,audio_features,0O6u0VJ46W86TxN9wgyqDj,spotify:track:0O6u0VJ46W86TxN9wgyqDj,https://api.spotify.com/v1/tracks/0O6u0VJ46W86TxN9wgyqDj,https://api.spotify.com/v1/audio-analysis/0O6u0VJ46W86TxN9wgyqDj,192841,4
101,Haseeno Ka Deewana,0.583,0.94,4,-2.44,0,0.0816,0.163,8.28e-05,0.577,0.492,136.056,audio_features,6VNBEaG5sidkK3lwq7Ws0I,spotify:track:6VNBEaG5sidkK3lwq7Ws0I,https://api.spotify.com/v1/tracks/6VNBEaG5sidkK3lwq7Ws0I,https://api.spotify.com/v1/audio-analysis/6VNBEaG5sidkK3lwq7Ws0I,229209,4
102,Feelin' Like,0.868,0.682,11,-4.887,0,0.353,0.0504,0.0,0.0665,0.861,111.973,audio_features,5Wll1i0Y8GGjyePcP83L3x,spotify:track:5Wll1i0Y8GGjyePcP83L3x,https://api.spotify.com/v1/tracks/5Wll1i0Y8GGjyePcP83L3x,https://api.spotify.com/v1/audio-analysis/5Wll1i0Y8GGjyePcP83L3x,167213,4
103,WOW (feat. Sabrina Carpenter) - Remix,0.702,0.744,6,-4.063,0,0.0861,0.469,0.0,0.0915,0.305,77.486,audio_features,5WokFKscrfGEGGLPTu3jgO,spotify:track:5WokFKscrfGEGGLPTu3jgO,https://api.spotify.com/v1/tracks/5WokFKscrfGEGGLPTu3jgO,https://api.spotify.com/v1/audio-analysis/5WokFKscrfGEGGLPTu3jgO,179653,4
104,Raabta,0.657,0.581,0,-8.108,1,0.0298,0.699,1.82e-05,0.116,0.323,118.037,audio_features,6FjbAnaPRPwiP3sciEYctO,spotify:track:6FjbAnaPRPwiP3sciEYctO,https://api.spotify.com/v1/tracks/6FjbAnaPRPwiP3sciEYctO,https://api.spotify.com/v1/audio-analysis/6FjbAnaPRPwiP3sciEYctO,243578,4
105,Desi Girl,0.746,0.924,8,-6.057,1,0.0442,0.0169,0.00279,0.097,0.807,136.051,audio_features,3Qpk2qHree1RTH5lZaKnEK,spotify:track:3Qpk2qHree1RTH5lZaKnEK,https://api.spotify.com/v1/tracks/3Qpk2qHree1RTH5lZaKnEK,https://api.spotify.com/v1/audio-analysis/3Qpk2qHree1RTH5lZaKnEK,306987,4
106,CASE 143,0.812,0.89,6,-2.661,0,0.209,0.0961,0.0,0.0222,0.69,100.006,audio_features,3O8G8eVrhfXTGttyQ1xVuq,spotify:track:3O8G8eVrhfXTGttyQ1xVuq,https://api.spotify.com/v1/tracks/3O8G8eVrhfXTGttyQ1xVuq,https://api.spotify.com/v1/audio-analysis/3O8G8eVrhfXTGttyQ1xVuq,191965,4
107,"Besharam Rang (From ""Pathaan"")",0.773,0.795,8,-5.537,0,0.0412,0.0587,0.00237,0.154,0.649,115.997,audio_features,0CtZpaOhtzvLV3FfcsVpQo,spotify:track:0CtZpaOhtzvLV3FfcsVpQo,https://api.spotify.com/v1/tracks/0CtZpaOhtzvLV3FfcsVpQo,https://api.spotify.com/v1/audio-analysis/0CtZpaOhtzvLV3FfcsVpQo,258474,4
108,Agora Hills,0.75,0.674,8,-6.128,0,0.097,0.228,8.91e-05,0.122,0.392,123.026,audio_features,7dJYggqjKo71KI9sLzqCs8,spotify:track:7dJYggqjKo71KI9sLzqCs8,https://api.spotify.com/v1/tracks/7dJYggqjKo71KI9sLzqCs8,https://api.spotify.com/v1/audio-analysis/7dJYggqjKo71KI9sLzqCs8,265360,4
