,ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
900,2018-05-18T23:49:34Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",6013,US,75.84.183.73,unknown,MIC Drop,BTS,Love Yourself 承 'Her',spotify:track:2SYa5Lx1uoCvyDIW4oee9b,,,,appload,fwdbtn,True,,False,1526687341103,False
901,2018-05-18T23:49:35Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",1044,US,75.84.183.73,unknown,Go Go - Japanese ver.,BTS,FACE YOURSELF,spotify:track:0YguyyCOTyujhSDXWyB4W3,,,,fwdbtn,fwdbtn,True,,False,1526687373479,False
902,2018-05-18T23:49:36Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",534,US,75.84.183.73,unknown,Crystal Snow,BTS,FACE YOURSELF,spotify:track:6NbfFVZ01Ttvvqmcok8DxL,,,,fwdbtn,fwdbtn,True,,False,1526687374557,False
903,2018-05-18T23:49:36Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",394,US,75.84.183.73,unknown,dimple,BTS,Love Yourself 承 'Her',spotify:track:3ryjLm3oupIjJFGc39naNi,,,,fwdbtn,fwdbtn,True,,False,1526687375474,False
904,2018-05-18T23:49:37Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",0,US,75.84.183.73,unknown,MIC Drop - Japanese ver.,BTS,FACE YOURSELF,spotify:track:3N6te5xi59Ex4HudLKsgGS,,,,fwdbtn,fwdbtn,True,,False,1526687376424,False
905,2018-05-18T23:53:30Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",232966,US,75.84.183.73,unknown,Anpanman,BTS,Love Yourself 轉 'Tear',spotify:track:4lRwa7PKcGIuJMwtPIYKdy,,,,fwdbtn,trackdone,True,,False,1526687376915,False
906,2018-05-18T23:54:25Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",50188,US,75.84.183.73,unknown,Pied Piper,BTS,Love Yourself 承 'Her',spotify:track:0ffweDHrg4bZqdG4IfGYuo,,,,trackdone,fwdbtn,True,,False,1526687609751,False
907,2018-05-18T23:58:31Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",242333,US,75.84.183.73,unknown,FAKE LOVE,BTS,Love Yourself 轉 'Tear',spotify:track:3aW0ds4A4tSQDIp75FqWTo,,,,fwdbtn,trackdone,True,,False,1526687664793,False
908,2018-05-19T03:46:53Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",28236,US,75.84.183.73,unknown,Intro: Serendipity,BTS,Love Yourself 承 'Her',spotify:track:7iV733e1KacKrFRaBNxVEf,,,,trackdone,unexpected-exit-while-paused,True,,False,1526687911102,False
909,2018-05-19T03:52:02Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",188035,US,75.84.183.73,unknown,Anpanman,BTS,Love Yourself 轉 'Tear',spotify:track:4lRwa7PKcGIuJMwtPIYKdy,,,,playbtn,fwdbtn,True,,False,1526701629882,False
910,2018-05-19T03:52:04Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",1602,US,75.84.183.73,unknown,Best Of Me,BTS,Love Yourself 承 'Her',spotify:track:2tdq0CeAGSfhI2l4Gwkvgx,,,,fwdbtn,fwdbtn,True,,False,1526701922140,False
911,2018-05-19T03:52:05Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",859,US,75.84.183.73,unknown,Don't Leave Me,BTS,FACE YOURSELF,spotify:track:3zIG0WuI5RoJsFYnErkFDU,,,,fwdbtn,fwdbtn,True,,False,1526701923788,False
912,2018-05-19T03:52:06Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",46,US,75.84.183.73,unknown,Outro: Her,BTS,Love Yourself 承 'Her',spotify:track:3l8yQMdniG6Os8gUBNXV57,,,,fwdbtn,fwdbtn,True,,False,1526701924980,False
913,2018-05-19T03:52:07Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",394,US,75.84.183.73,unknown,Spring Day - Japanese ver.,BTS,FACE YOURSELF,spotify:track:4a8guR4owPEdDyLsPIC6HP,,,,fwdbtn,fwdbtn,True,,False,1526701925680,False
914,2018-05-19T03:52:11Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",2693,US,75.84.183.73,unknown,DNA - Japanese ver.,BTS,FACE YOURSELF,spotify:track:4Bkh5uDlP14vneIoRG0umC,,,,fwdbtn,fwdbtn,True,,False,1526701926797,False
915,2018-05-19T16:42:19Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",20828,US,75.84.183.73,unknown,Paradise,BTS,Love Yourself 轉 'Tear',spotify:track:01dmH2IPkrLNWIMPNXlreE,,,,fwdbtn,unexpected-exit-while-paused,True,,False,1526701930430,False
916,2018-05-19T16:42:34Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",7685,US,75.84.183.73,unknown,Paradise,BTS,Love Yourself 轉 'Tear',spotify:track:01dmH2IPkrLNWIMPNXlreE,,,,appload,fwdbtn,True,,False,1526748143102,False
