,endTime,artistName,trackName,msPlayed
229,2023-10-28 21:07,Tainy,COLMILLO,471
230,2023-10-28 21:07,TOMORROW X TOGETHER,Back for More (with Anitta),1157
231,2023-10-28 21:07,Pritam,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",683
232,2023-10-28 21:07,iamnotshane,Take Me Out,1637
233,2023-10-28 21:07,Troye Sivan,Rush,156391
234,2023-10-28 21:07,Rochak Kohli,Saadi Galli Aaja,1755
235,2023-10-28 21:11,Pritam,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",216270
236,2023-10-28 21:27,Imagine Dragons,Bones,165264
237,2023-10-28 21:29,bbno$,edamame (feat. Rich Brian),133706
238,2023-10-28 21:32,TOMORROW X TOGETHER,Do It Like That,145065
239,2023-10-28 21:46,BTS,Spine Breaker,238529
240,2023-10-28 21:50,Doja Cat,Paint The Town Red,231750
241,2023-10-28 21:53,Pritam,"Character Dheela 2.0 (From ""Shehzada"")",157152
242,2023-10-28 21:56,Edward Maya,Love Stereo Again,206181
243,2023-10-28 22:14,MONSTA X,WHO DO U LOVE?,128765
244,2023-10-28 22:17,Trinidad Cardona,Love Me Back (Fayahh Beat),193626
245,2023-10-28 22:20,Glass Animals,I Don't Wanna Talk (I Just Wanna Dance),195190
246,2023-10-28 22:37,BTS,Black Swan,28540
247,2023-10-28 23:56,BTS,Black Swan,3413
248,2023-10-29 00:00,Jax Jones,You Don't Know Me (feat. RAYE),212573
249,2023-10-29 00:03,Sam Smith,Unholy (feat. Kim Petras),156943
250,2023-10-29 00:06,will.i.am,LET'S GO,196880
251,2023-10-29 00:09,Mabel,Don't Call Me Up,178480
252,2023-10-29 00:13,Rihanna,Disturbia,238626
253,2023-10-29 00:15,Lil Nas X,MONTERO (Call Me By Your Name),127908
254,2023-10-29 00:19,Maroon 5,One More Night,219466
255,2023-10-29 00:20,Dua Lipa,Levitating (feat. DaBaby),10468
256,2023-10-29 00:22,KAI,Rover,174506
257,2023-10-29 00:25,TOMORROW X TOGETHER,Do It Like That,145065
258,2023-10-29 00:26,MONSTA X,WHO DO U LOVE?,96041
259,2023-10-29 00:45,BTS,Black Swan,1760
260,2023-10-29 06:25,BTS,Black Swan,172733
261,2023-10-29 06:28,Post Malone,Circles,215280
262,2023-10-29 06:34,Agust D,People,197000
263,2023-10-29 06:37,J Balvin,Gris,176626
264,2023-10-29 06:39,Charlie Puth,Smells Like Me,22871
265,2023-10-29 06:42,The Attire,Sriracha (feat. WOOSUNG),112960
266,2023-10-29 15:46,BTS,Run BTS,204939
267,2023-10-29 15:47,JENNIE,You & Me,7312
268,2023-10-29 15:50,Jessi,NUNU NANA,195836
269,2023-10-29 15:57,Jimin,Like Crazy,212241
270,2023-10-29 16:00,j-hope,MORE,180022
271,2023-10-29 16:03,Jung Kook,Seven (feat. Latto) (Explicit Ver.),184400
272,2023-10-29 16:06,Boys World,Gone Girl,152852
273,2023-10-29 16:10,BTS,FAKE LOVE,242333
274,2023-10-29 16:11,JENNIE,SOLO,41649
275,2023-10-29 16:15,j-hope,Daydream (백일몽),228759
276,2023-10-29 16:22,Jung Kook,Still With You,239905
277,2023-10-29 16:23,Boys World,Piña Colada,3854
278,2023-10-29 16:27,BTS,IDOL,222732
279,2023-10-29 16:29,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
280,2023-10-29 16:32,ENHYPEN,Bite Me,157531
281,2023-10-29 16:32,LISA,MONEY,19274
282,2023-10-29 16:35,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
283,2023-10-29 16:38,ENHYPEN,Bite Me,157531
284,2023-10-29 16:38,LISA,MONEY,508
285,2023-10-29 16:40,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
286,2023-10-29 16:43,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
287,2023-10-29 16:46,ENHYPEN,Bite Me,157531
288,2023-10-29 16:48,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
289,2023-10-29 16:51,ENHYPEN,Bite Me,157531
290,2023-10-29 16:53,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
291,2023-10-29 16:59,ENHYPEN,Bite Me,157531
292,2023-10-29 17:01,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
293,2023-10-29 17:04,ENHYPEN,Bite Me,157531
294,2023-10-29 17:09,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
295,2023-10-29 17:12,ENHYPEN,Bite Me,157531
296,2023-10-29 17:15,ENHYPEN,Bite Me,157531
297,2023-10-29 17:16,LISA,MONEY,40953
298,2023-10-29 17:19,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
299,2023-10-29 17:21,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
300,2023-10-29 17:27,ENHYPEN,Bite Me,157531
301,2023-10-29 17:31,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
302,2023-10-29 17:33,ENHYPEN,Bite Me,157531
303,2023-10-29 17:36,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
304,2023-10-29 17:39,ENHYPEN,Bite Me,157531
305,2023-10-29 17:41,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
306,2023-10-29 17:44,ENHYPEN,Bite Me,157531
307,2023-10-29 17:46,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
308,2023-10-29 17:53,ENHYPEN,Bite Me,157531
309,2023-10-29 17:56,ENHYPEN,Bite Me,157531
310,2023-10-29 17:56,LISA,MONEY,6263
311,2023-10-29 18:56,MONSTA X,WHO DO U LOVE?,93022
312,2023-10-29 18:59,Troye Sivan,Rush,156391
313,2023-10-29 19:01,Armaan Malik,Memu Aagamu,167547
314,2023-10-29 19:06,Ricky Martin,Vente Pa' Ca (feat. Maluma),259195
315,2023-10-29 19:09,iamnotshane,Plot Twist,176470
316,2023-10-29 19:09,TOMORROW X TOGETHER,Back for More (with Anitta),9146
317,2023-10-29 19:53,Ludovico Einaudi,Experience,315426
318,2023-10-29 20:00,Ludovico Einaudi,Primavera,442400
319,2023-10-29 20:02,Joe Hisaishi,Opening Song - Merry-Go-Round of Life,153573
320,2023-10-29 20:05,Kassia,Carmen: Habanera - Piano Solo Version,123123
321,2023-10-29 20:09,Franz Liszt,Paganini Étude No. 6,295125
322,2023-10-29 20:13,Pyotr Ilyich Tchaikovsky,Swan Lake,213646
323,2023-10-29 20:15,Edvard Grieg,In the Hall of the Mountain King,132423
324,2023-10-29 20:22,Ludwig van Beethoven,"Moonlight Sonata 3rd Movement (Piano Sonata No. 14 in C-Sharp Minor, Op. 27, No. 2: III. Presto agitato)",407013
325,2023-10-29 20:28,Franz Liszt,"Ständchen (From Schwanengesang, D957)",375920
326,2023-10-29 20:37,Frédéric Chopin,"Piano Sonata No. 2 in B flat minor, Op. 35: 3. Marche funèbre (Lento)",537240
327,2023-10-29 20:41,Frédéric Chopin,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. posth.",213666
328,2023-10-29 20:43,Johannes Brahms,Hungarian Dance No. 5,133294
329,2023-10-29 20:44,John Powell,This Is Berk,79855
330,2023-10-29 20:47,Foudeqush,Con La Brisa,167386
331,2023-10-29 20:47,Richard Carter,Le Monde - From Talk to Me,11461
332,2023-10-29 20:50,Joel Sunny,Luminary,189000
333,2023-10-29 20:53,Joel Sunny,Sweater Weather (Violin),153314
334,2023-10-29 21:12,KAI,Rover,174506
335,2023-10-29 21:18,TOMORROW X TOGETHER,Do It Like That,11693
336,2023-10-29 21:20,TOMORROW X TOGETHER,Do It Like That,145065
337,2023-10-29 21:24,Ayushmann Khurrana,Pani da Rang (Male),239333
338,2023-10-29 21:25,Armaan Malik,Memu Aagamu,39151
339,2023-10-29 23:02,ENHYPEN,Bite Me,203553
340,2023-10-29 23:05,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
341,2023-10-29 23:08,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
342,2023-10-29 23:11,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),59087
343,2023-10-29 23:14,KAI,Rover,270
344,2023-10-29 23:17,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
345,2023-10-29 23:19,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
346,2023-10-29 23:22,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
347,2023-10-29 23:24,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
348,2023-10-29 23:28,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
349,2023-10-29 23:31,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
350,2023-10-29 23:33,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
351,2023-10-30 00:17,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),133228
352,2023-10-30 06:22,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),24288
353,2023-10-30 06:24,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
354,2023-10-30 06:27,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
355,2023-10-30 06:30,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
356,2023-10-30 06:42,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
357,2023-10-30 06:54,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),117264
358,2023-10-30 14:10,KAI,Rover,588
359,2023-10-30 14:13,ENHYPEN,Bite Me,157531
360,2023-10-30 14:16,ENHYPEN,Bite Me,157531
361,2023-10-30 14:18,ENHYPEN,Bite Me,157531
362,2023-10-30 14:21,ENHYPEN,Bite Me,157531
363,2023-10-30 14:24,ENHYPEN,Bite Me,157531
364,2023-10-30 14:26,ENHYPEN,Bite Me,157531
365,2023-10-30 14:29,ENHYPEN,Bite Me,157531
366,2023-10-30 14:30,ENHYPEN,Bite Me,43178
367,2023-10-30 14:36,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
368,2023-10-30 14:39,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
369,2023-10-30 14:42,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
370,2023-10-30 14:44,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
371,2023-10-30 14:47,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
372,2023-10-30 14:49,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
373,2023-10-30 14:51,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),82514
374,2023-10-30 14:54,Pritam,Haan Main Galat,218644
375,2023-10-30 14:59,KK,Kya Mujhe Pyar Hai (Style Mix),255173
376,2023-10-30 15:03,Akon,Chammak Challo,227091
377,2023-10-30 15:06,Sachet Tandon,Barbaadiyan,230185
378,2023-10-30 15:07,Anirudh Ravichander,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",26001
379,2023-10-30 15:12,Benny Dayal,Lat Lag Gayee,280369
380,2023-10-30 15:21,Sohail Sen,Do Dhaari Talwaar,300826
381,2023-10-30 15:30,Roop Kumar Rathod,Tujh Mein Rab Dikhta Hai,281573
382,2023-10-30 15:35,Yo Yo Honey Singh,"Dil Chori (From ""Sonu Ke Titu Ki Sweety"")",226696
383,2023-10-30 15:38,Badshah,Voodoo (with J Balvin & Tainy),198130
384,2023-10-30 15:42,Vishal Dadlani,"Dus Bahane 2.0 (From ""Baaghi 3"") (feat. K.K., Shaan, Tulsi Kumar)",61391
385,2023-10-30 15:50,Sohail Sen,Tune Maari Entriyaan,313364
386,2023-10-30 15:51,Sukhwinder Singh,Haule Haule,8921
387,2023-10-30 15:59,Pritam,Touch Me,318066
388,2023-10-30 16:00,Yashita Sharma,Gallan Goodiyaan,70323
389,2023-10-30 16:05,Steve Aoki,Azukita,226161
390,2023-10-30 16:06,Jessie J,Bang Bang,8461
391,2023-10-30 16:09,David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",192560
